year,total_edges,testimony,co_witness,kinship
1515.0,22,21,0,0
1553.0,1,0,0,0
1561.0,3,0,0,0
1572.0,19,13,0,0
1577.0,20,19,0,0
1580.0,12,11,0,0
1581.0,14,12,0,0
1582.0,23,20,0,0
1583.0,21,20,0,0
1584.0,95,77,0,0
1586.0,88,76,0,0
1590.0,30,29,0,0
1591.0,92,84,0,0
1592.0,152,142,0,0
1593.0,112,95,0,0
1594.0,139,114,0,0
1595.0,14,10,0,0
1596.0,383,332,0,0
1597.0,96,72,0,0
1598.0,237,211,0,0
1599.0,298,262,0,0
1600.0,148,140,0,0
1601.0,138,117,0,0
1602.0,354,297,0,0
1603.0,356,309,0,0
1604.0,174,161,0,0
1605.0,24,21,0,0
1606.0,52,46,0,0
1607.0,103,86,0,0
1608.0,222,188,0,0
1609.0,248,203,0,0
1610.0,156,141,0,0
1611.0,294,263,0,0
1612.0,82,75,0,0
1613.0,68,62,0,0
1614.0,163,154,0,0
1615.0,271,225,0,0
1616.0,113,98,0,0
1617.0,84,75,0,0
1618.0,207,186,0,0
1619.0,173,154,0,0
1620.0,106,96,0,0
1621.0,53,41,0,0
1622.0,29,29,0,0
1623.0,31,25,0,0
1624.0,258,224,0,0
1625.0,46,38,0,0
1626.0,46,36,0,0
1628.0,22,21,0,0
1630.0,18,15,0,0
1645.0,40,37,0,0
1657.0,1,0,0,0
