transmission_prob,seed_size,mean_cascade_size,std_cascade_size,max_cascade_size,min_cascade_size
0.05,1,1.2,0.7483314773547881,4,1
0.05,3,8.033333333333333,12.621366363785219,44,3
0.05,5,21.533333333333335,42.45839793910689,175,5
0.05,10,60.233333333333334,51.434543083634196,203,10
0.1,1,11.033333333333333,32.02132969686855,156,1
0.1,3,66.46666666666667,109.33396341281858,368,3
0.1,5,76.06666666666666,117.90502769413844,532,5
0.1,10,256.3666666666667,250.7890857983169,931,10
0.15,1,138.16666666666666,314.4511709135282,1002,1
0.15,3,193.53333333333333,338.09907160804545,1199,3
0.15,5,301.6333333333333,403.95036686316905,1688,5
0.15,10,633.7333333333333,355.5182070661861,1386,84
0.2,1,148.7,442.11002778343163,1791,1
0.2,3,294.5,538.4677489568587,2032,3
0.2,5,674.9,600.8959615995656,2063,5
0.2,10,1192.2333333333333,597.964975748766,2174,161
