name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
Mengeotte femme du precedent,witness,female,,,3,True,False,False
Barbe femme du precedent,witness,female,,,4,True,False,False
Catherine femme du precedent,witness,female,,,8,True,False,False
Anthoinette,witness,unknown,,,3,True,False,False
Claudon femme du precedent,witness,female,,,3,True,False,False
Marguerite femme du precedent,witness,female,,,3,True,False,False
Nicolas le Clerc,witness,male,Moulin,,5,True,False,False
Jean Demenge,witness,male,,,3,True,False,False
Jean Menusier,witness,male,,,4,True,True,False
Jehennon,witness,unknown,,,3,True,False,False
Demenge Pierson,witness,male,,,3,True,False,False
Jean Henry,witness,male,,,9,True,False,False
Jean le Clerc,witness,male,,,3,True,False,False
Jean Andreu,witness,male,,,3,True,False,False
Claudatte femme du precedent,witness,female,,,3,True,False,False
Demenge Antoine,witness,male,Dompierre,,3,True,False,False
Mengeon Claudon,witness,male,Fontenay,,1,True,False,False
Marguitte femme du precedent,witness,female,,,8,True,False,False
Didier,witness,unknown,Fer,,7,True,False,False
Nicole femme du precedent,witness,female,,,4,True,False,False
Jean Mengin,witness,male,Bathelemont,,7,True,False,False
Jean Grand Jean,witness,male,,,5,True,False,False
Nicolas Moictrier,witness,male,,,4,True,False,False
Margueritte femme du precedent,witness,female,,,4,True,False,False
Mengeatte femme du precedent,witness,female,,,3,True,False,False
Elizabeth femme du precedent,witness,female,,,3,True,False,False
Demenge le Clerc,witness,male,,,3,True,False,False
Nicolle femme du precedent,witness,female,,,3,True,False,False
Colas Gerard,witness,unknown,La Bolle,,5,True,True,False
Colas Mandray,witness,unknown,Raves,,4,True,False,False
Idoult Marie de la Chapelle,witness,female,,,3,True,False,False
Noel George de la Chapelle,witness,unknown,,,3,True,False,False
Claudon Valtin le Jeune de la Chapelle,witness,male,,,3,True,False,False
Jean Pieron,witness,male,,,3,True,False,False
Idoult Jean Martin,witness,male,,,3,True,False,False
Jean le Maire,witness,male,,,3,True,False,False
Jennon femme du precedent,witness,female,,,8,True,False,False
Claudon le Clerc,witness,male,,,3,True,False,False
Lienard Adam,witness,unknown,,,3,True,False,False
Demenge Gros Demenge,witness,male,,,4,True,False,False
Jean Masson,witness,male,,,5,True,False,False
Jean Willaume,witness,male,,,3,True,True,False
Jean Grand Didier,witness,male,,,5,True,False,False
Demengeon Claude Girard,witness,male,,,4,True,False,False
Mengeon Claude Mariatte,witness,male,,,3,True,False,False
Anne femme Jean Canot,witness,female,,,3,True,False,False
Demenge Potier,witness,male,,,3,True,False,False
Lucas Mongin,witness,unknown,,,3,True,False,False
Didier Prevost,witness,unknown,,,4,True,False,False
Jean Magdelaine,witness,male,,,3,True,False,False
Valentin Jané,witness,unknown,,,3,True,False,False
Jean Bertrand,witness,male,,,3,True,False,False
?,witness,unknown,,,4,True,False,False
Didier Chottey,witness,unknown,,,3,True,False,False
Georgeon Claudon Noel,witness,male,,,3,True,True,False
Jean Regnauldin,witness,male,,,4,True,False,False
